Start Task       : 2021-08-03-1048
Send TMS         : {"truckload_index":"aeab0f33-517d-4712-8f88-541abea62476","truckload_no":"TM21070098","tm_index":"77ad07c9-14f5-43fb-9ea7-4e388986e323","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"12","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070106
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 7
Doc Max.         : 15
G Tote L.        : 15
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"cd2cc367-504c-45b5-b778-5658d83a07c4","truckload_no":"TM21070106","tm_index":"fc2282a4-3c80-4288-8a51-5899e827ac91","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"7","docreturn_max":"15","return_tote_qty_xl":15,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070038
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 10
Doc Max.         : 13
G Tote L.        : 10
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"b4255cbd-82f8-4ad1-9c98-5b8e91c3afe5","truckload_no":"TM21070038","tm_index":"6e6a5aaa-3d0b-4532-b2bf-5be413a62881","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"10","docreturn_max":"13","return_tote_qty_xl":10,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070030
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 23
Tote M Max.      : 6
Doc Max.         : 23
G Tote L.        : 23
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 23
Send TMS         : {"truckload_index":"a173d4ff-7fc3-4cef-bd88-5bf2a32fdb25","truckload_no":"TM21070030","tm_index":"308ee14f-b65c-4fb0-8239-8d99d2245326","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"23","return_tote_max_m":"6","docreturn_max":"23","return_tote_qty_xl":23,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":23}
Send TMS Result  : False
Truckload No.    : TM21070067
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 2
Doc Max.         : 13
G Tote L.        : 16
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"8a9d298d-d4fb-4f17-8b38-5f2e841ceecf","truckload_no":"TM21070067","tm_index":"63b4a6c7-acef-4f60-97c7-11110df3c6f0","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"2","docreturn_max":"13","return_tote_qty_xl":16,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070021
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 7
Doc Max.         : 18
G Tote L.        : 18
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 18
Send TMS         : {"truckload_index":"aee73bf7-afbe-403f-851d-610009f30c58","truckload_no":"TM21070021","tm_index":"efe6bfeb-00b7-44cf-9d64-f03344e77808","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"7","docreturn_max":"18","return_tote_qty_xl":18,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":18}
Send TMS Result  : False
Truckload No.    : TM21070066
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 2
Doc Max.         : 7
G Tote L.        : 16
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"0bcc8591-663c-4795-a070-6553642a102c","truckload_no":"TM21070066","tm_index":"d8b1b6f1-573d-4a2b-941a-3c22112e540a","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"2","docreturn_max":"7","return_tote_qty_xl":16,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070111
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 8
Doc Max.         : 21
G Tote L.        : 19
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 21
Send TMS         : {"truckload_index":"02acbf44-96f2-45a6-95c0-6575815291e2","truckload_no":"TM21070111","tm_index":"5ef495ab-823f-4d22-ad9e-78bd34ca0c34","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"8","docreturn_max":"21","return_tote_qty_xl":19,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":21}
Send TMS Result  : False
Truckload No.    : TM21070071
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 21
Tote M Max.      : 7
Doc Max.         : 16
G Tote L.        : 21
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"9a06a9ed-6c1c-4838-8839-6728401d0bcf","truckload_no":"TM21070071","tm_index":"7fff3ab2-60a0-4676-abd0-04f595e33e63","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"21","return_tote_max_m":"7","docreturn_max":"16","return_tote_qty_xl":21,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070064
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 5
Doc Max.         : 7
G Tote L.        : 8
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"0cb49bc4-acca-443c-801e-67ec6fa41757","truckload_no":"TM21070064","tm_index":"de0514d9-d117-49d3-b452-bfb4399cb679","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"5","docreturn_max":"7","return_tote_qty_xl":8,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070008
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 7
Doc Max.         : 13
G Tote L.        : 12
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"2666ba1c-5464-4d20-a3c9-6aa9725872c4","truckload_no":"TM21070008","tm_index":"b3b0c4f6-6052-421c-a0d8-4d2af4075c30","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"7","docreturn_max":"13","return_tote_qty_xl":12,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070051
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 6
Doc Max.         : 9
G Tote L.        : 8
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"1ed9baa6-cedc-4849-8a22-6b717c82895f","truckload_no":"TM21070051","tm_index":"8818db85-6371-40e7-95c5-612f5cf2eb75","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"6","docreturn_max":"9","return_tote_qty_xl":8,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070001
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 4
Doc Max.         : 16
G Tote L.        : 18
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"609b06dc-f705-4360-b49d-6c47229318d2","truckload_no":"TM21070001","tm_index":"ff2d3a83-7ebc-463d-87d8-26b14709a5b2","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"4","docreturn_max":"16","return_tote_qty_xl":18,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070037
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 22
Tote M Max.      : 13
Doc Max.         : 25
G Tote L.        : 22
G Tote M.        : 13
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 25
Send TMS         : {"truckload_index":"89de498f-2f67-43ce-bc81-6df97c11b769","truckload_no":"TM21070037","tm_index":"5474bce9-b9bf-449c-859f-3f76cd62c8d9","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"22","return_tote_max_m":"13","docreturn_max":"25","return_tote_qty_xl":22,"return_tote_qty_m":13,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":25}
Send TMS Result  : False
Truckload No.    : TM21070123
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 8
Doc Max.         : 13
G Tote L.        : 15
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"05bc31dd-65ce-48cf-85e8-7180808c3102","truckload_no":"TM21070123","tm_index":"c29ac9e6-6cb7-41c2-b73b-0834e985fd82","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"8","docreturn_max":"13","return_tote_qty_xl":15,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070078
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 11
Tote M Max.      : 5
Doc Max.         : 9
G Tote L.        : 11
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"472efa85-9941-420f-b7b1-7ed35ae42442","truckload_no":"TM21070078","tm_index":"f2ba2347-c407-4119-b5e0-cc7251adf2c9","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"11","return_tote_max_m":"5","docreturn_max":"9","return_tote_qty_xl":11,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070068
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 3
Doc Max.         : 4
G Tote L.        : 6
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 4
Send TMS         : {"truckload_index":"702a08f8-b626-4e30-8880-7f3ae3e9448a","truckload_no":"TM21070068","tm_index":"62b99f37-87e2-42d0-b367-ae2dd3d33f21","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"3","docreturn_max":"4","return_tote_qty_xl":6,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":4}
Send TMS Result  : False
Truckload No.    : TM21070036
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 3
Doc Max.         : 8
G Tote L.        : 6
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"63342f9f-c798-4a51-8efc-8189c5ede098","truckload_no":"TM21070036","tm_index":"f8c94d49-5948-40d9-9114-5088c2635a2e","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"3","docreturn_max":"8","return_tote_qty_xl":6,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070015
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 7
Doc Max.         : 18
G Tote L.        : 16
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 18
Send TMS         : {"truckload_index":"ea560bd5-eaa0-43e6-8394-81a8696194d1","truckload_no":"TM21070015","tm_index":"2296a6ce-05fa-40a8-9a75-ddb7e19977dd","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"7","docreturn_max":"18","return_tote_qty_xl":16,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":18}
Send TMS Result  : False
Truckload No.    : TM21070033
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 10
Doc Max.         : 20
G Tote L.        : 18
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"47a7aad9-853a-4f20-ae98-81c9e8a41df7","truckload_no":"TM21070033","tm_index":"758aa2fb-cef3-4415-8269-4553e51374d2","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"10","docreturn_max":"20","return_tote_qty_xl":18,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070043
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 5
Doc Max.         : 19
G Tote L.        : 17
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"66fe4820-aa8b-40f0-841b-824007e7b922","truckload_no":"TM21070043","tm_index":"600aae68-9d94-4b8c-a14a-65dea6e196fb","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"5","docreturn_max":"19","return_tote_qty_xl":17,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070113
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 5
Doc Max.         : 12
G Tote L.        : 16
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"2a5cad99-7cc0-4c64-ad95-82a73515eba3","truckload_no":"TM21070113","tm_index":"2fe7191d-c095-4399-bfa5-81c40c121316","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"5","docreturn_max":"12","return_tote_qty_xl":16,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070050
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 2
Doc Max.         : 4
G Tote L.        : 20
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 4
Send TMS         : {"truckload_index":"7cac0825-92f9-432b-94a9-841905d385ec","truckload_no":"TM21070050","tm_index":"49090759-02f7-4096-8127-bab636fd0773","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"2","docreturn_max":"4","return_tote_qty_xl":20,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":4}
Send TMS Result  : False
Truckload No.    : TM21070108
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 0
Doc Max.         : 9
G Tote L.        : 6
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"db3b3a0f-b37f-4204-9a98-8509db583e31","truckload_no":"TM21070108","tm_index":"7467f336-e344-4388-8f41-12c68070a9ba","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"0","docreturn_max":"9","return_tote_qty_xl":6,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070105
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 4
Doc Max.         : 13
G Tote L.        : 17
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"0c3f191c-bd37-4f6b-a98f-85ef196458b9","truckload_no":"TM21070105","tm_index":"c472d7b4-464e-4b8a-8c82-89cbb0d5c0d1","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"4","docreturn_max":"13","return_tote_qty_xl":17,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070062
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 7
Tote M Max.      : 3
Doc Max.         : 5
G Tote L.        : 7
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 5
Send TMS         : {"truckload_index":"3bb96143-a691-4d98-ba1b-8639b4030950","truckload_no":"TM21070062","tm_index":"cefbf454-5208-4973-ae7c-f7c8e0db4c91","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"7","return_tote_max_m":"3","docreturn_max":"5","return_tote_qty_xl":7,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":5}
Send TMS Result  : False
Truckload No.    : TM21070025
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 14
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"00c3facc-68a0-403b-a79e-879d8e8088c5","truckload_no":"TM21070025","tm_index":"d1778f30-64b9-44ad-bb65-143339c95e0d","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"14","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070061
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 4
Doc Max.         : 9
G Tote L.        : 10
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"434768f4-6046-43fe-9e8b-880bb64607e6","truckload_no":"TM21070061","tm_index":"5fed575d-e18b-4959-b35d-537446011678","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"4","docreturn_max":"9","return_tote_qty_xl":10,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070044
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 14
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"d4ee5e5b-0f1a-4fa7-a97f-8a900f6149dc","truckload_no":"TM21070044","tm_index":"beefd3c3-365b-49fa-94a5-a4650a84f8fe","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"14","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070070
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 4
Doc Max.         : 14
G Tote L.        : 20
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"349e9236-b69e-425d-9b42-8b39d00b36bd","truckload_no":"TM21070070","tm_index":"daf196f4-49d5-45af-a793-31ab20768ae7","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"4","docreturn_max":"14","return_tote_qty_xl":20,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070063
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 5
Tote M Max.      : 2
Doc Max.         : 6
G Tote L.        : 5
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"621e8989-6b95-4684-99a5-8b7edb01e275","truckload_no":"TM21070063","tm_index":"2387f6a7-2b7c-42b3-be83-956ee7e89a7a","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"5","return_tote_max_m":"2","docreturn_max":"6","return_tote_qty_xl":5,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070085
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 5
Doc Max.         : 6
G Tote L.        : 8
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"496c30d1-a917-43e2-87f3-8eba485e5a68","truckload_no":"TM21070085","tm_index":"46a568f0-5ed5-4292-8740-6177274eacc1","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"5","docreturn_max":"6","return_tote_qty_xl":8,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070116
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 10
Doc Max.         : 20
G Tote L.        : 18
G Tote M.        : 10
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"ccbc7fff-96f5-4d8c-b2b3-8efb60e22fad","truckload_no":"TM21070116","tm_index":"c60b8b11-8ca0-4cac-9f86-c790989c1558","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"10","docreturn_max":"20","return_tote_qty_xl":18,"return_tote_qty_m":10,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070086
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 5
Doc Max.         : 11
G Tote L.        : 12
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"0e87fc8d-d326-495c-94a2-8f4a96629c16","truckload_no":"TM21070086","tm_index":"752b2768-8e26-4974-8f3f-3bda36858e16","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"5","docreturn_max":"11","return_tote_qty_xl":12,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070072
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 22
Tote M Max.      : 4
Doc Max.         : 13
G Tote L.        : 22
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"1f10e8e9-ec32-44c0-859a-8f7d352a983a","truckload_no":"TM21070072","tm_index":"4bdb976d-69aa-44f7-9d62-f4d71b5240ea","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"22","return_tote_max_m":"4","docreturn_max":"13","return_tote_qty_xl":22,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070080
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 3
Doc Max.         : 10
G Tote L.        : 15
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"5b4e31f6-e4d2-479c-be7b-90f255cc0d55","truckload_no":"TM21070080","tm_index":"a2069217-73b2-4e7b-ae19-02759099ad39","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"3","docreturn_max":"10","return_tote_qty_xl":15,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070092
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 11
Tote M Max.      : 3
Doc Max.         : 8
G Tote L.        : 11
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"2ae7bed2-36c0-4969-8e1f-93025a7e47f6","truckload_no":"TM21070092","tm_index":"0f7438e4-7e07-46fc-b085-16edca131854","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"11","return_tote_max_m":"3","docreturn_max":"8","return_tote_qty_xl":11,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070122
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 6
Doc Max.         : 19
G Tote L.        : 16
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"3f06dfd2-7999-4d60-b0bb-94ccaede59ba","truckload_no":"TM21070122","tm_index":"b0573e09-3490-493c-9a67-02b0693388df","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"6","docreturn_max":"19","return_tote_qty_xl":16,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070094
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 7
Doc Max.         : 12
G Tote L.        : 13
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"4facbd33-9fa8-4f06-90d4-96754d6cb0ed","truckload_no":"TM21070094","tm_index":"80838a22-28a6-40b8-ba9d-3c70b5ccf442","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"7","docreturn_max":"12","return_tote_qty_xl":13,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070076
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 9
Tote M Max.      : 5
Doc Max.         : 10
G Tote L.        : 9
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"82bac5c1-a586-4a22-b0f8-96e43939eb59","truckload_no":"TM21070076","tm_index":"52257489-205f-4dc8-bfc5-b4dec2bdac9e","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"9","return_tote_max_m":"5","docreturn_max":"10","return_tote_qty_xl":9,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
